,problem_id,student_avg_score,type
0,Airstrike,0.0,project
1,FileIO_echo,95.79207920792079,lab
2,FileIO_runways,94.31524547803618,lab
3,FileIO_survivors_by_gender,87.06030150753769,lab
4,FileIO_titanicfares,61.36363636363637,lab
5,FileIO_titanicsurvivor,65.66265060240964,lab
6,Graphics2_bouncingball,100.0,lab
7,Graphics2_bouncingtriangle,100.0,lab
8,Graphics3_paint,100.0,lab
9,Graphics3_soundboard,100.0,lab
10,IterLogic1_averagerun,95.0,lab
11,IterLogic1_cargocapacity,95.21634615384616,lab
12,IterLogic1_count,97.64150943396227,lab
13,IterLogic1_countby10s,87.53424657534246,lab
14,IterLogic1_dvc,90.47619047619048,lab
15,IterLogic1_squadrons,87.0,lab
16,IterLogic1_waittimes,90.5982905982906,lab
17,IterLogic2_class2017,97.60765550239235,lab
18,IterLogic2_coordinates,81.43037974683544,lab
19,IterLogic2_counting,93.18518518518519,lab
20,IterLogic2_football,95.97101449275362,lab
21,IterLogic2_printchars,93.68811881188118,lab
22,IterLogic2_timestable,95.83333333333333,lab
23,Lists1_fastestcar,93.01435406698565,lab
24,Lists1_listrange,96.65871121718376,lab
25,Lists1_pftscores,98.67647058823529,lab
26,Lists2_100m,88.90617283950617,lab
27,Lists2_credit,76.71232876712328,lab
28,Lists2_golf,88.23913043478261,lab
29,Lists2_movies,82.37735849056604,lab
30,Lists2_population,97.73299748110831,lab
31,Lists3_averagetraffic,64.28571428571429,lab
32,Lists3_lowvolume,93.9,lab
33,Lists3_popularnames,90.60846560846561,lab
34,Lists3_sat,91.10512129380054,lab
35,Lists3_unpopularnames,62.5375,lab
36,PA2_practice1,99.5049504950495,lab
37,PA2_practice2,81.04956268221575,lab
38,PA2_practice3,94.8671497584541,lab
39,PA2_practice4,88.71794871794872,lab
40,Recon,0.0,project
41,Skywriter,0.0,project
42,a1_1_aircraft,93.14079422382672,skill
43,a1_1_bases,93.84615384615384,skill
44,a1_1_cadet,98.73417721518987,skill
45,a1_1_dorms,90.22556390977444,skill
46,a1_1_icbm,92.28187919463087,skill
47,a1_1_squad,90.2621722846442,skill
48,a1_2_circles,95.18867924528301,skill
49,a1_2_cones,88.17351598173516,skill
50,a1_2_interest,90.10471204188482,skill
51,a1_2_radius,97.07070707070707,skill
52,a1_2_spheres,92.40837696335079,skill
53,a1_3_arrow,100.0,skill
54,a1_3_cards,97.72839506172839,skill
55,a1_3_circles,91.05882352941177,skill
56,a1_3_cones,82.02127659574468,skill
57,a1_3_goldilocks,98.81313131313131,skill
58,a1_3_interest,86.90721649484536,skill
59,a1_3_radius,95.23809523809524,skill
60,a1_3_satellite,98.53551912568307,skill
61,a1_3_speed,99.04571428571428,skill
62,a1_3_spheres,87.55102040816327,skill
63,a1_3_vspeed,100.0,skill
64,a1_4_arrow,97.6470588235294,skill
65,a1_4_cards,100.0,skill
66,a1_4_dog,88.48449612403101,skill
67,a1_4_goldilocks,97.15957446808511,skill
68,a1_4_pt,89.23694779116465,skill
69,a1_4_run,87.58148148148148,skill
70,a1_4_satellite,97.84946236559139,skill
71,a1_4_sickness,91.98113207547169,skill
72,a1_4_speed,100.0,lab
73,a1_5_fueldepot,85.06965174129353,lab
74,a1_5_paint,83.32631578947368,lab
75,a1_5_printer,82.83406113537117,lab
76,a1_5_runway,81.89340101522842,lab
77,a1_5_scuba,80.61386138613861,lab
78,a1_6_broadband,79.72881355932203,lab
79,a1_6_digitalstorage,79.99404761904762,lab
80,a1_6_evacuation,80.69934640522875,lab
81,a1_6_fueldepot,83.52631578947368,lab
